;Var1;Var2;Freq
20;0 a 4;Varón;450
21;5 a 9;Varón;378
22;10 a 14;Varón;205
23;15 a 19;Varón;220
24;20 a 24;Varón;300
25;25 a 29;Varón;165
26;30 a 34;Varón;113
27;35 a 39;Varón;114
28;40 a 44;Varón;96
29;45 a 49;Varón;66
30;50 a 54;Varón;58
31;55 a 59;Varón;42
32;60 a 64;Varón;36
33;65 a 69;Varón;25
34;70 a 74;Varón;22
35;75 a 79;Varón;7
36;80 a 84;Varón;10
37;85 a 89;Varón;4
38;90 y +;Varón;0
39;0 a 4;Mujer;550
40;5 a 9;Mujer;489
41;10 a 14;Mujer;320
42;15 a 19;Mujer;286
43;20 a 24;Mujer;669
44;25 a 29;Mujer;358
45;30 a 34;Mujer;295
46;35 a 39;Mujer;219
47;40 a 44;Mujer;164
48;45 a 49;Mujer;140
49;50 a 54;Mujer;178
50;55 a 59;Mujer;112
51;60 a 64;Mujer;101
52;65 a 69;Mujer;87
53;70 a 74;Mujer;67
54;75 a 79;Mujer;45
55;80 a 84;Mujer;33
56;85 a 89;Mujer;12
57;90 y +;Mujer;3
