Género;Nombre;Apellido;Partido;Lista;Circunscripción
Varón;PABLO;ABDALA;Partido Nacional;Alianza Nacional - 2014;Montevideo
Varón;FERNANDO;AMADO;Partido Colorado;Vamos Uruguay - 10;Montevideo
Varón;GERARDO;AMARILLA;Partido Nacional;Aire Fresco - 15;Rivera
Varón;GERARDO;AMARILLA;Partido Nacional;Aire Fresco - 15;Rivera
Varón;DARCY;AMAURY;Frente Amplio;MPP - 90609;Rocha
Varón;ÓSCAR;ANDRADE;Frente Amplio;Partido Comunista - 1001;Montevideo
Varón;SEBASTIÁN;ANDÚJAR;Partido Nacional;Aire Fresco - 400;Canelones
Varón;ENRIQUE;ANTÍA;Partido Nacional;Alianza Nacional - 22;Maldonado
Varón;SAÚL;ARISTIMUÑO;Frente Amplio;Compromiso Frenteamplista - 711100177;Rivera
Varón;JOSÉ ANDRÉS;AROCENA;Partido Nacional;Todos - 6262;Florida
Mujer;ELISABETH;ARRIETA;Partido Nacional;Alianza Nacional - 22;Maldonado
Varón;ALFREDO;ASTI;Frente Amplio;Asamblea Uruguay - 2121;Montevideo
Varón;MARIO;AYALA;Partido Nacional;Alianza Nacional - 2014;Artigas
Varón;RUBÉN;BACIGALUPE;Partido Nacional;Aire Fresco - 404;San José
Mujer;GABRIELA;BARREIRO;Frente Amplio;Partido Socialista - 90;Montevideo
Varón;JULIO;BATTISTONI;Frente Amplio;MPP - 609;Montevideo
Varón;JESÚS;BENTACOR;Partido Nacional;Alianza Nacional - 22;Maldonado
Varón;GUILLERMO;BESOZZI;Partido Nacional;Alianza Nacional - 903;Soriano
Varón;DANIEL;BIANCHI;Partido Colorado;Vamos Uruguay - 10;Colonia
Mujer;GRACIELA;BIANCHI;Partido Nacional;Aire Fresco - 404;Montevideo
Mujer;CECILIA;BOTTINO;Frente Amplio;MPP - 609;Paysandú
Varón;DANIEL;CAGGIANI;Frente Amplio;MPP - 609;Montevideo
Varón;FELIPE;CARBALLO;Frente Amplio;Compromiso Frenteamplista - 711;Montevideo
Varón;GERMÁN;CARDOSO;Partido Colorado;Vamos Uruguay - 10;Maldonado
Varón;JOSÉ CARLOS;CARDOSO;Partido Nacional;Herrerismo - 71;Rocha
Varón;ANDRÉS;CARRASCO;Partido Independiente;909;Maldonado
Varón;ARMANDO;CASTAINGDEBAT;Partido Nacional;Aire Fresco - 404;Flores
Varón;RICHARD;CHARAMELO;Partido Nacional;Alianza Nacional - 2014;Canelones
Varón;ROBERTO;CHIAZZARO;Frente Amplio;Partido Socialista - 90;Montevideo
Varón;GONZALO;CIVILA;Frente Amplio;Partido Socialista - 90;Montevideo
Mujer;CATALINA;CORREA;Frente Amplio;888711;Salto
Varón;ÁLVARO;DASTUGUE;Partido Nacional;Alianza Nacional - 2014;Montevideo
Varón;WALTER;DE LEÓN;Frente Amplio;MPP - 60910017373;San José
